"","Codigo","Provincia","Municipio","Comarca","Tasainicial","LONGITUD_ETRS89","LATITUD_ETRS89","Indemnizacion","Valor_Prod","VIVO","Ind_VP2"
"255",4070,4,70,2,0.104225897,-2.29602131,37.48360163,8189.4,66097.73,12,0.123898354754392
"256",23033,23,33,9,0.05544462,-3.83774832,37.48515683,0,159.16,1,0
"257",41081,41,81,2,0.109414708,-5.97908069,37.48806452,106325.36,1117751.01,11,0.095124369424636
"258",18023,18,23,3,0.09448026,-2.77485648,37.49077779,66002.15,429160.43,12,0.153793652411058
"259",21076,21,76,2,0.025889388,-7.27235309,37.50070487,0,679.52,3,0
"260",18178,18,178,5,0.078121732,-3.35644595,37.50474975,55973.18,598334.28,12,0.093548342241063
"261",41005,41,5,2,0.109414708,-5.97857253,37.5171086,18743.54,327407.16,10,0.0572484120383928
"262",14002,14,2,5,0.104089578,-4.66061547,37.52004219,16837.39,248857.26,11,0.0676588257863162
"263",41013,41,13,1,0.072127378,-6.26869637,37.52281812,201933.18,4029050.7,12,0.0501192948502733
"264",41045,41,45,1,0.072127378,-6.1582894,37.52460734,237121.68,4223104.71,12,0.0561486622480644
"265",41056,41,56,5,0.130840702,-5.24916945,37.52645229,206979.32,2093581.48,12,0.0988637518898954
"266",23064,23,64,9,0.05544462,-3.65363388,37.52893667,0,510.83,1,0
"267",41049,41,49,1,0.072127378,-6.05232296,37.53939693,288133.34,3809742.31,12,0.0756306638492828
"268",18194,18,194,3,0.09448026,-2.8427711,37.5401022,107.71,3845.82,5,0.0280070310102917
"269",41039,41,39,5,0.130840702,-5.07543598,37.54077247,10287498.28,69898352.25,12,0.147177979864325
"270",21006,21,6,2,0.025889388,-7.11496253,37.54947646,1513.36,8846.25,1,0.171073618765013
"271",23019,23,19,9,0.05544462,-3.63530988,37.55559065,137.37,261.24,1,0.525838309600367
"272",30033,30,33,5,0.20217283,-1.81042381,37.55977174,196.54,784.6,2,0.250497068569972
