X;LONGITUD;LATITUD;Ind_VP2;Valor_Prod
127;-3.60001883;37.17641932;0.062689223;0.716876141
128;-5.78089198;37.17935222;0.040442274;44.66734301
129;-3.11612282;37.17960943;0.006738497;0.012754128
130;-3.06368298;37.18155072;0.103557528;0.002477143
131;-4.33427797;37.18382365;0.004972147;0.266400489
132;-4.45078097;37.18660129;0.01297992;0.034391884
133;-3.71896428;37.18938734;0.013668147;0.180001151
134;-4.04716859;37.19468512;0.007438665;0.151087255
135;-4.7797279;37.19940589;0.011666988;0.413356431
136;-3.77093889;37.20165324;0.000193508;0.004180381
137;-4.66026922;37.2094587;0.030561408;0.189820439
138;-3.51676416;37.2184559;0.002459764;0.003132422
139;-3.78484242;37.21996834;0.012856761;0.036241342
140;-5.30648646;37.22272096;0.035864242;4.395659901
141;-4.89550627;37.22335024;0.014551203;0.181391089
142;-3.65748033;37.23090185;0.033852748;0.170197747
143;-3.5542762;37.2309964;0.014869856;0.001379594
144;-4.48846113;37.23576989;0.004228309;7.39E-05
145;-5.10120623;37.23757134;0.047065625;29.71963957
146;-6.30651195;37.24619138;0.033011558;0.08610646
147;-4.58251386;37.24883679;0.008132602;0.014206874
148;-4.99341911;37.25197969;0.031592994;0.01634448
149;-4.91428059;37.25226698;0.034915835;0.102884124
150;-3.74737519;37.25412074;0.013456178;0.233834899
151;-3.09745106;37.25634459;0.051744014;0.049867578
152;-3.59731995;37.25714434;0.051657279;0.021486186
153;-4.30793236;37.25784671;0.020582885;0.019187934
154;-6.95040588;37.26004113;0.010830742;1.294852828
155;-6.51747768;37.26252304;0.018610315;0.053708207
156;-5.54476269;37.26265472;0.029646988;7.563191263
157;-4.53987316;37.26716339;0.002312951;0.003671222
158;-4.41410228;37.26765901;0.003828517;0.000354402
159;-6.06098644;37.26894589;0.033563632;1.424932306
160;-4.82593739;37.27018223;0.032689118;0.020907735
161;-7.02327311;37.2723312;0.009764143;0.006242716
162;-4.48724904;37.27334279;0.019102467;0.010535959
163;-3.57526467;37.27380305;0.011519935;0.035937905
164;-6.83691754;37.27471025;0.00849604;0.02139677
165;-3.2055964;37.2809596;0.041417384;0.014033623
166;-6.05111441;37.28383805;0.035433701;0.506907172
167;-4.8765968;37.28845167;0.028790261;0.803679867
168;-5.91334407;37.28894862;0.024054948;1.888512364
169;-5.49618766;37.28989484;0.051063958;4.263803892
170;-6.37618796;37.29250784;0.001408511;0.232290037
